Description,Amount,Category


Purchase at FreshFarm grocery store,45.67,groceries
Monthly rent to John Smith,1200.00,rent
Utility bill payment to PowerGrid Inc,89.40,utilities
Tickets from CinemaWorld,30.00,entertainment
Flight booking with SkyHigh Airlines,499.99,travel
Salary from DevSolutions Ltd,3500.00,salary
Online shopping at MegaShop,120.50,shopping
Medical bill at HealthCare Partners hospital,310.25,medical
Purchase at FoodMart grocery store,76.15,groceries
Monthly rent to Lisa Brown,980.00,rent
Utility bill payment to WaterWorks Co,65.30,utilities
Tickets from EventCorp,55.00,entertainment
Flight booking with JetTravel,850.00,travel
Salary from WebWorks Inc,4200.00,salary
Online shopping at QuickBuy,89.99,shopping
Medical bill at City Hospital,250.75,medical
Purchase at DailyFresh grocery store,33.45,groceries
Monthly rent to Michael Clark,1450.00,rent
Utility bill payment to EnergyPlus,120.00,utilities
Tickets from ConcertLive,70.00,entertainment
Purchase at FreshFarm grocery store,45.67,groceries
Monthly rent to John Smith,1200.00,rent
Utility bill payment to PowerGrid Inc,89.40,utilities
Tickets from CinemaWorld,30.00,entertainment
Flight booking with SkyHigh Airlines,499.99,travel
Salary from DevSolutions Ltd,3500.00,salary
Online shopping at MegaShop,120.50,shopping
Medical bill at HealthCare Partners hospital,310.25,medical
Purchase at FoodMart grocery store,76.15,groceries
Monthly rent to Lisa Brown,980.00,rent
Utility bill payment to WaterWorks Co,65.30,utilities
Tickets from EventCorp,55.00,entertainment
Flight booking with JetTravel,850.00,travel
Salary from WebWorks Inc,4200.00,salary
Online shopping at QuickBuy,89.99,shopping
Medical bill at City Hospital,250.75,medical
Purchase at DailyFresh grocery store,33.45,groceries
Monthly rent to Michael Clark,1450.00,rent
Utility bill payment to EnergyPlus,120.00,utilities
Tickets from ConcertLive,70.00,entertainment
Flight booking with Oceanic Air,765.00,travel
Salary from NetTech Solutions,3000.00,salary
Online shopping at TechBazaar,220.00,shopping
Medical bill at Mercy Hospital,470.00,medical
Purchase at GreenMart grocery store,59.80,groceries
Monthly rent to Sarah Davis,1100.00,rent
Utility bill payment to CityElectric,95.20,utilities
Tickets from MusicHall,45.00,entertainment
Flight booking with GlobalWings,680.75,travel
Salary from ByteForce LLC,3900.00,salary
Online shopping at FastCart,139.95,shopping
Medical bill at GlobalMed hospital,385.10,medical
Purchase at Organic Choice grocery store,41.90,groceries
Monthly rent to Kevin Johnson,1050.00,rent
Utility bill payment to AquaPure,78.60,utilities
Tickets from ShowWorld,63.00,entertainment
Flight booking with GoTravel,599.99,travel
Salary from LogicSoft Ltd,3200.00,salary
Online shopping at ShopMore,110.00,shopping
Medical bill at Regional Health Center,260.50,medical
Purchase at LocalMarket grocery store,67.89,groceries
Monthly rent to Robert Garcia,1250.00,rent
Utility bill payment to PowerLine Inc,105.55,utilities
Tickets from FunTime Tickets,35.00,entertainment
Flight booking with RapidJet,720.00,travel
Salary from CloudStack Inc,4550.00,salary
Online shopping at ClickMart,198.25,shopping
Medical bill at Sunshine Hospital,399.95,medical
Purchase at BudgetMart grocery store,58.75,groceries
Monthly rent to Anna Lee,990.00,rent
Utility bill payment to HydroCity,88.30,utilities
Tickets from NightFest Events,40.00,entertainment
